date,R,month,AvgHumidity,beta,AR,AC,AI,AF,ABK,AV,const,cityID,city,cityID2,TierID,tmax,city_coord,tmin,rhum,uwnd,vwnd,hpbl,wnd,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta1sd,beta2sd,beta3sd,beta4sd,beta5sd,beta6sd,beta7sd,beta8sd,beta9sd,beta10sd,R_est,R_est_2sdevL,R_est_2sdevU,CI,PI
2003-12-01,62.57944623,12,0.62,1.2727272729999999,32119.23518,3137.197402,1781.842091,0.375,86,207637801.9,1,14,NewDelhi,3,1,19.47,NewDelhi,8.52002,44.910004,-3.2799987999999995,-1.3600006000000002,585.19354,3.550773685,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,53.529865477081714,17.600052898415015,89.45967805574841,11.550369792790667,22.359534657086954
2004-01-01,48.86338319,1,0.63,1.2727272729999999,32185.002969999998,3049.6966030000003,1823.7903620000002,0.033333333,86,213793142.9,1,14,NewDelhi,3,1,18.63,NewDelhi,7.52002,46.040009999999995,-2.0299988,-0.9600066999999999,555.621,2.245552937,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,54.72872554684201,19.9376680321501,89.51978306153391,14.795245272578104,24.195806049954324
2004-02-01,30.18537053,2,0.55,1.181818182,27893.66924,2643.070389,1823.7903620000002,1.275862069,86,192413828.6,1,14,NewDelhi,3,1,23.15,NewDelhi,9.87,30.160003999999997,-2.199997,-2.0400085,768.18964,3.000270235,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,47.95890495474501,14.74224470901075,81.17556520047926,9.790551768894959,21.50331722480682
2004-03-01,26.63138635,3,0.47,1.181818182,25748.00238,2439.757282,1823.7903620000002,10.03225806,86,171034514.3,1,14,NewDelhi,3,1,30.26,NewDelhi,14.47998,20.670013,-2.2599945,-1.7599945,1294.8468,2.8644643089999997,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,41.35241254761358,6.629504562855502,76.07532053237165,8.996001762114537,21.1533873276889
2004-04-01,39.81984518,4,0.34,1.0909090909999999,19311.001780000002,1829.817962,1823.7903620000002,43.5,86,171034514.3,1,14,NewDelhi,3,1,33.84,NewDelhi,16.78,23.25,-1.75,-0.6399994000000001,1698.0625,1.863356979,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,44.13666991140168,7.292993560964927,80.9803462618384,6.918531516962113,20.356911015241472
2004-05-01,48.10696693,5,0.33,1.0909090909999999,19311.001780000002,1829.817962,1823.7903620000002,28.22580645,86,171034514.3,1,14,NewDelhi,3,1,36.96,NewDelhi,21.63,24.480010999999998,0.5,-0.66999817,1724.2218,0.836000926,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,40.50607745539709,5.414634978845243,75.59751993194894,7.111869083467593,20.423428448515782
2004-06-01,30.01353948,6,0.46,1.181818182,17165.334919999998,1626.5048550000001,1823.7903620000002,0.6,0,171034514.3,1,14,NewDelhi,3,1,35.8,NewDelhi,22.95,46.51001,1.3899993999999998,0.80000305,1557.3375,1.603777794,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,19.527112212874478,-15.146923888851532,54.20114831460049,13.807044084470522,23.60449563286142
2004-07-01,45.84498981,7,0.7,1.2727272729999999,16092.50148,1524.848301,911.8951812000001,0.387096774,0,171034514.3,1,14,NewDelhi,3,1,34.52002,NewDelhi,23.270020000000002,58.880005000000004,2.2299957000000004,1.1699982,1327.4879,2.518288429,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,23.358182239452795,-11.591160763994054,58.307525242899644,9.389834598667766,21.323853814955676
2004-08-01,17.53115039,8,0.73,1.2727272729999999,12874.00119,1219.878641,911.8951812000001,0.548387097,0,171034514.3,1,14,NewDelhi,3,1,31.020020000000002,NewDelhi,22.66998,78.83,0.8999939,1.1799927,998.8871,1.484039013,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,30.4188430495527,-3.1161348095995294,63.95382090870494,8.00866846763765,20.752747248395696
2004-09-01,33.6759805,9,0.62,1.2727272729999999,12874.00119,1219.878641,911.8951812000001,1.8666666669999998,0,171034514.3,1,14,NewDelhi,3,1,33.82,NewDelhi,20.21,45.130005,0.94999695,-0.49000550000000004,982.4375,1.0689245040000002,25.656036577277156,0.00027090888496331746,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279973,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.00015107676505751117,0.00017312341967577906,0.0001852369283013545,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.4349969468012432,0.06077243255014295,0.0028507788175857296,25.6723899216554,-3.4114569227921123,54.756236766102916,7.980450224634302,20.741873915322287
