cityID2,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta1sd,beta2sd,beta3sd,beta4sd,beta5sd,beta6sd,beta7sd,beta8sd,beta9sd,beta10sd
1,23.189351418179417,0.0005205792416458306,0.00031186114280163155,0.0003614006803187764,0.22141085955237136,0.13106586278083332,5.454375759387958e-09,-0.7827019689088903,0.16730212722506085,-0.007482204701651849,6.449221254560634,0.0002878245534865094,0.00024349358119092645,0.00037938487482507905,0.10044519483923957,0.10007800496485436,2.459869061031311e-09,0.4970022513345523,0.06544458477433143,0.003768872177283023
2,21.793264020095027,0.0001622635913120656,0.0002543168857617557,0.00031253499231489106,0.23516962312913012,0.7708882880960773,7.122872166984517e-09,-0.9894879443102101,0.13157696767096513,-0.005696426630847258,4.153518422105089,0.00010926425392519115,0.00014167686277551483,0.00023682521074718438,0.07256733430635785,0.6709251519652099,5.407461914153334e-09,0.6166043507588368,0.05659077227216648,0.0030885512156099233
3,25.656036577277153,0.0002709088849633175,0.0002777487564276763,0.00027480388485839793,0.26457855532922225,0.21338913315279975,6.1699335870136915e-09,-0.5260021076759659,0.16385535156055858,-0.012664854440549572,5.459685403529144,0.0001510767650575112,0.00017312341967577906,0.00018523692830135446,0.037877307732949166,0.045447155838413834,3.964778344807927e-09,0.43499694680124323,0.06077243255014295,0.0028507788175857296
4,19.300418885352766,8.842513662211382e-05,0.0002918511671513706,0.00035885407601968873,0.2250742324762567,0.050467355557177226,7.536406159520278e-09,-3.2387733606608937,0.2390982001971952,-0.006481090676370149,7.353392907328655,6.484120679384747e-05,0.00016435078060551543,0.00032151749662408073,0.0806804209480828,0.04754710708214582,6.761488742946894e-09,1.1485668676650858,0.08963370619827711,0.003412419653190882
5,6.876341328820665,0.00011510109063314568,0.0004989205897855306,0.0009689222261250831,0.1309900395743663,1.030499613261672,2.2271048580175963e-09,-1.1273114890313973,0.11239641499011699,-0.004567458603404288,5.196186244361944,0.00010143691860629855,0.00036359466131921967,0.0006033456416714867,0.06056213330510291,0.68086847331201,1.8360159474886662e-09,0.7716189463631683,0.06359196220442409,0.002755146600515281
6,21.20478542299844,0.0009418022792427194,0.0005830489765481351,0.0011118499427600014,0.1281642432478307,0.726568033681463,5.482013228181243e-09,-1.1318820016601876,0.1095909177584927,-0.0039205671288909,7.123577801426792,0.0004058504851719747,0.00042811507778622024,0.0007281411669475368,0.06982108908659562,0.2653051586091785,8.110813954766345e-09,0.7227750248558196,0.05737605591908981,0.0029257427163561344
7,26.015961927176523,0.00116480237917132,0.0005701233334306481,0.0010338844662437737,0.17057056226043896,1.0727399439774379,5.825351428340312e-09,-1.2397462144181077,0.12047651578208447,-0.007171757678336361,7.819742722446004,0.00026697748277251316,0.00040714356138927274,0.0006870950894297199,0.0878706751395562,0.6804798935963062,9.417915040542441e-09,0.8563452591931767,0.0651953385890149,0.00308963044870096
8,20.393908787704085,6.906822722520103e-05,0.0003033131027884361,0.00024344315991194323,0.26415985456135505,0.3086256779162491,8.417157547185462e-09,-0.5901320328484431,0.11331430009740137,-0.0013564951215543043,4.2583470645925035,6.50257364588756e-05,0.0002019302138993775,0.00016576446210791914,0.0677508558565979,0.15842516640536333,9.259552782493885e-09,0.40704576459068403,0.05565909255963072,0.001138933430863633
9,23.55157657857637,0.0021375657194402284,0.00031156158572928763,0.00037251394866890677,0.21840803083246166,1.1546707775085323,8.185520687154134e-09,-2.040278966324409,0.15074273747666703,-0.007307654177711074,6.544260291095274,0.0005400725372529255,0.0002305350595812909,0.00033486113157853126,0.07458684519297383,0.9117903247365284,1.0731010291068701e-08,1.1486774159225333,0.06319122569526055,0.002727339609423976
10,23.41933256745452,0.001332580469360357,0.0005627951555173118,0.0010632217010523662,0.11368879992264122,0.8187224318033943,5.72186041419536e-09,-1.1712404684601851,0.12149996623121945,-0.0075669481923903974,6.669057354907077,0.00041493578507814064,0.0003932860288065401,0.000699509915221004,0.03615418932538134,0.5428115487981127,1.0041923409136524e-08,0.748261191445434,0.06941846190378907,0.003386543557598158
