cityID2,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta1sd,beta2sd,beta3sd,beta4sd,beta5sd,beta6sd,beta7sd,beta8sd,beta9sd,beta10sd
2,21.34375636951957,0.00019527092663866545,0.00026408775682489044,0.00037319162515072354,0.12664736763513332,0.739326893173902,8.755238646823708e-09,-1.857193823537853,0.07406989189915471,-0.0008145428578711313,4.249936927652013,0.00013478230017887908,0.00016523604263008143,0.00025114447900314256,0.0517839114985712,0.5589342478133372,5.2566003662126105e-09,0.9577490468096543,0.053283904828962,0.0005684837732413585
3,17.791657955083892,0.0005109230039828165,0.0002847119913381001,0.00033217202878851854,0.1521306410732484,0.10725931285744962,7.861979512459355e-09,-0.5649874710797526,0.2050152544599076,-0.0008386433123456533,4.284790486394161,0.00013898466164382676,0.00020104375775227166,0.00021401358083912358,0.036175032809409056,0.037176202692515044,4.350563620246791e-09,0.47677911174133814,0.06044474349473182,0.000567726757064559
4,13.751926966691734,0.000102555638855124,0.0002657664174624515,0.00047246834831571154,0.12136359455187531,0.07403831005393076,8.779602864788512e-09,-4.35077687159187,0.28322813209432884,-0.0008491872205598621,5.993071914764868,7.212242511998205e-05,0.00018079505519156018,0.0003762768623842499,0.048534270025103105,0.05900238429686294,5.503133025013046e-09,0.8906590690418954,0.08446441755592177,0.00059189080675279
5,2.0959140919399206,0.00011245781750308997,0.0003980984144001754,0.001195337488577069,0.05034496552718637,1.0102630204322074,2.7913942180064256e-09,-1.4062361495731768,0.14998475705876818,-0.000800230274410179,4.628597820548646,0.00010304248835824055,0.00030220591394253114,0.0006602256650245984,0.03556468761484731,0.5684348776763304,1.963454980898786e-09,0.9143503558111236,0.07073652411796644,0.0006133996286948615
6,13.379192882518941,0.001130823361447395,0.0004822544940643027,0.0014639126582464395,0.052097455676809894,0.9153910087274907,6.122542897705882e-09,-1.9730518518341411,0.11716990658622946,-0.0007917629748996211,6.632877898617586,0.0004598826497898374,0.00039669401113283316,0.0008179657077096018,0.03996844422250027,0.2639064594289499,5.155716740123479e-09,1.2574354534227807,0.06427461366701054,0.000602608923609024
7,14.800013989184759,0.0011726449570667403,0.0004696731638877363,0.0013293860803906276,0.050458930178586374,0.9107048016934818,6.589072909427156e-09,-1.8556377439174845,0.34018322170251514,-0.0007907313696200237,6.33871126848373,0.00025953540521688763,0.00037526793730252806,0.0007190187852170544,0.03447819876931996,0.5321768624873132,5.973783243973527e-09,1.2770190450939256,0.0774242470680947,0.0006200221698882802
8,18.646449129557492,6.960972137710927e-05,0.000302893971334872,0.00028668623623174995,0.13318452581539986,0.08183694478120752,8.598442480815e-09,-0.3620081019900532,0.29789653716026915,-0.0008023291485480313,3.9132316147340194,5.7886526565046673e-05,0.00022220558229788537,0.00017267687169395516,0.05095393340606836,0.07725016033060284,5.678836837396112e-09,0.30520136467197284,0.06733600025304051,0.0005400056213226135
9,19.454127025435792,0.002501398173366317,0.00031644532391889555,0.00045642969490677536,0.12175748162444944,1.006925487593854,9.03896730524651e-09,-3.794772628405827,0.09323706875945835,-0.0008406807230863724,5.630666617272072,0.0005168857952770024,0.00026974178194098304,0.00040358112733522404,0.051782125509051175,0.6797890564673428,6.030929647859334e-09,1.5106718652146993,0.05923480851527624,0.0005740828754971041
10,22.763031832085456,0.0010282812168366916,0.0004779500944586266,0.0013607357720331003,0.03568594203724083,0.5256882071111001,6.552101187057358e-09,-2.0017620836837287,0.2431543225456709,-0.000773376929434992,5.925748350401825,0.0004374532659928147,0.0003839834475684601,0.0008172615915980418,0.024283044035188543,0.3715147158188523,5.766335098183111e-09,1.1406562633086519,0.08810207247550889,0.0005872428430517505
11,23.512835818462122,0.0009737033768865079,0.00030546344306777503,0.00036469978890264494,0.11637532445834932,1.0377193420784234,8.538058658712961e-09,-2.414197107525525,0.12586261896359707,-0.0008697168277710901,5.103717191910522,0.00024626485287795375,0.0002412211240389402,0.0002808689708366586,0.054803236945484515,0.4299602838158429,5.522105761761762e-09,1.4596258378952873,0.06766443856892909,0.0005941701343377747
12,31.33959082813061,0.0010200919048122426,0.0003237186924779651,0.00045932302881606247,0.12016617278044434,1.0861480849559262,8.583558798013469e-09,-3.4487072230984137,0.11543230148172072,-0.0008268466379400134,5.027799101199697,0.00017113616612325533,0.0002676008592068384,0.0003920409170523216,0.053712303536931315,0.5497833881468432,5.477041886277028e-09,1.381768519386658,0.06445830490006259,0.0005476270742366852
13,20.83964797874824,0.0007745804143286976,0.0004684460171166322,0.0013475519537921236,0.054474099404297587,0.3272272896737888,6.073688406436371e-09,-0.8547877551644995,0.29733097143700715,-0.0007705238285248811,5.1173815933331115,0.00022069373870894964,0.00035615944301381464,0.0007404504524036748,0.027927856097616624,0.27963168126444604,5.3810790805930995e-09,0.6531239188411384,0.08602147482771225,0.0005992044336823584
14,14.159294720823473,0.002047496718036295,0.0004504411089470644,0.001243827124795856,0.04550105148131898,1.6283935929282523,6.096732526439814e-09,-3.025384865482133,0.07809611972513442,-0.0008449194998983123,5.720835104960725,0.00041862351344483994,0.00034612708015308664,0.0006728409290528203,0.034020893472159607,0.3938886713667349,5.544788032231028e-09,1.209303200904489,0.054812441317773596,0.0006409946386668507
15,22.610812031271607,0.0005171018513612225,0.0003096822000554572,0.00043589995840452546,0.14068434033905153,0.786260723361543,8.855537970888295e-09,-3.0789928728024307,0.12987387890458726,-0.0008450778225538566,3.9534506371228666,0.0002439199279842549,0.000228260713364794,0.00041930718903725547,0.04492548808196784,0.4945860461886265,5.416251231988621e-09,1.3082452432913227,0.050263405671637645,0.0005714097938843488
16,7.486004021631008,8.504659953712131e-05,0.000316727624600919,0.0005203753900060909,0.13294063568571826,0.06513446960884066,8.479957561414544e-09,-0.3397824593717095,0.25711726900484927,-0.000768897566341962,3.464336422039436,7.65892896293628e-05,0.0002728716125889957,0.0004755805186581396,0.056741525447034424,0.059810273388226004,5.156635454526517e-09,0.31389744570441386,0.0639932626893803,0.000545024224419459
