date,idx1,idx2,R,month,AvgHumidity,beta,AR,AC,AI,AF,ABK,AV,const,cityID,city,cityID2,TierID,tmax,city_coord,tmin,rhum,uwnd,vwnd,hpbl,wnd,year,ARu,ACu,s,r,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta1sd,beta2sd,beta3sd,beta4sd,beta5sd,beta6sd,beta7sd,beta8sd,beta9sd,beta10sd,R_est,R_est_2sdevL,R_est_2sdevU,CI,PI
2001-01-01,Agra,2001,48.62040817,1,0.64,1.2727272729999999,20792.4592,391.53740689999995,502.96534510000004,0.48387096799999996,2,3077385.275,1,1,Agra,7,2,22.53,Agra,7.4,31.559997999999997,-0.38000488,-1.9499970000000002,722.9113,1.986678638,2001,20792.4592,391.53740689999995,1.0,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,43.83024467587148,7.016826244084206,80.64366310765875,8.088324066113067,19.799899575802954
2001-02-01,Agra,2001,34.28740324,2,0.55,1.181818182,18713.21328,352.3836662,502.96534510000004,2.0,2,2769646.748,1,1,Agra,7,2,26.3,Agra,11.41,22.700012,-1.0899963,-2.1900023999999996,999.3616300000001,2.446262955,2001,20792.4592,391.53740689999995,0.9,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,38.976462105389174,1.5803255260927003,76.37259868468564,6.621248259028625,19.24723267176629
2001-03-01,Agra,2001,23.60985222,3,0.45,1.181818182,18713.21328,352.3836662,502.96534510000004,8.433333333,2,2461908.22,1,1,Agra,7,2,31.0,Agra,14.97998,20.410004,-1.550003,-2.0800018,1502.8307,2.594015572,2001,20792.4592,391.53740689999995,0.9,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,37.02863555677215,-2.717657453344775,76.77492856688912,5.3806306609226615,18.856463701412288
2001-04-01,Agra,2001,33.97516292,4,0.35,1.0909090909999999,17673.59032,332.8067959,502.96534510000004,16.6,2,2461908.22,1,1,Agra,7,2,37.22,Agra,19.41998,21.339996,-1.3099976,-2.0700073,1826.3833,2.449698744,2001,20792.4592,391.53740689999995,0.85,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,35.09890479888623,-5.068293440427435,75.26610303819993,5.767110596775879,18.970361136490332
2001-05-01,Agra,2001,43.66351419,5,0.34,1.0909090909999999,17673.59032,332.8067959,502.96534510000004,38.09677419,2,2461908.22,1,1,Agra,7,2,39.93,Agra,23.78,37.579987,0.33999634,-1.8000029999999998,2005.6329999999998,1.831831955,2001,20792.4592,391.53740689999995,0.85,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,36.80104990973447,-3.8802737184251637,77.48237353789413,13.777448096061287,22.725164753045927
2001-06-01,Agra,2001,40.95813073,6,0.46,1.181818182,17673.59032,332.8067959,502.96534510000004,0.333333333,0,2461908.22,1,1,Agra,7,2,37.37,Agra,25.71,52.429993,0.7400055,-0.68000793,1835.3917,1.0049969779999999,2001,20792.4592,391.53740689999995,0.85,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,34.50206987874009,-1.989148434824802,70.99328819230499,11.211770036128534,21.267788421846966
2001-07-01,Agra,2001,31.49153869,7,0.72,1.2727272729999999,15594.3444,293.6530552,251.4826725,0.20689655199999998,0,2461908.22,1,1,Agra,7,2,33.669979999999995,Agra,24.65,74.75,0.7799988,0.7899933000000001,1334.0968,1.110174555,2001,20792.4592,391.53740689999995,0.75,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,33.66107816852138,-0.5997584046921993,67.92191474173495,6.563001208312546,19.227272866262915
2001-08-01,Agra,2001,33.45975986,8,0.77,1.2727272729999999,15594.3444,293.6530552,251.4826725,0.225806452,0,2461908.22,1,1,Agra,7,2,34.93,Agra,24.86,63.25,1.3699951000000001,0.3500061,1085.3186,1.4139981769999999,2001,20792.4592,391.53740689999995,0.75,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,33.58051551657546,-0.25522034686570283,67.4162513800166,6.560761322075757,19.226508422973303
2001-09-01,Agra,2001,48.56041572,9,0.67,1.2727272729999999,15594.3444,293.6530552,251.4826725,0.933333333,0,2461908.22,1,1,Agra,7,2,36.0,Agra,21.51,38.01001,1.0299988000000002,-1.050003,1123.3042,1.470851396,2001,20792.4592,391.53740689999995,0.75,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,32.69774813220409,-0.4759275596176895,65.87142382402585,6.488488735322637,19.201966646201292
2001-10-01,Agra,2001,48.9865276,10,0.54,1.181818182,16633.96736,313.2299255,502.96534510000004,10.09677419,2,2461908.22,1,1,Agra,7,2,32.87,Agra,17.87,33.089996,-0.80999756,-1.1100006000000002,1016.9677,1.374116945,2001,20792.4592,391.53740689999995,0.8,0.8,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.02733264883599061,2.0021737377265447,8.180351508818065e-09,-2.1347150727807422,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027275e-08,1.4321662797801866,0.019577252389501098,0.0017002882677893975,38.96538745443331,5.1825123419419565,72.7482625669247,9.172128090329567,20.266794781583766
