cityID2,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta1sd,beta2sd,beta3sd,beta4sd,beta5sd,beta6sd,beta7sd,beta8sd,beta9sd,beta10sd
1,19.92532496676529,0.0004798763896564811,0.0004217751025691555,0.0003479484494151343,0.07622152502105532,0.2830960966866482,6.0543019963543415e-09,-1.4372997787329598,0.025804143098437905,-0.00344896305447316,5.808274247885137,0.00027822222495457814,0.0007870083412912525,0.0002281504004830757,0.031170590444235327,0.12390698788226907,2.7713234457408795e-09,0.6136625957354526,0.017611110288465615,0.0022374773723238565
2,25.698076116125396,0.0001438132969947153,0.00021185154925818154,0.00035136992374964175,0.0773843648836561,2.28807373876932,9.097783204912229e-09,-2.4377372189021083,0.02356497863811565,-0.0021508347746684634,3.4694873690610897,0.0001067592460999522,0.00014119612032483469,0.00021923478781508707,0.03239443879124297,1.5566323382218663,6.7093551293574015e-09,1.0066881199801287,0.01655727913340732,0.0016489137076219442
3,26.659557980213044,0.00019430550377366095,0.00025777219290855965,0.00032830607122279995,0.08154075930479152,0.15433994914001384,9.016627025031426e-09,-0.4780107354016508,0.026071824454382036,-0.0037971237060147245,3.76714973281769,0.00011430387380522998,0.00018754252384767548,0.0002038697087550522,0.027936742771784144,0.02340857834749418,5.799033812196121e-09,0.40832951911243726,0.017499851984160267,0.0017597617565152936
4,23.184875246068938,9.983346733801935e-05,0.0002303274454401226,0.0003478660455377528,0.07342478626048166,0.07239200189577492,9.790769603988512e-09,-3.246769382587497,0.02732225696305349,-0.0029430391138245415,3.5328062709914643,6.639970224153384e-05,0.00015976728762407633,0.0002239356857228733,0.02770474047446545,0.058039574728119714,6.816701208978333e-09,0.7118246323600604,0.02154329255077411,0.001928964495599358
5,6.594355867028027,0.00021461401369751018,0.00048224335974853894,0.000743917514449933,0.028116390359923554,2.190612926294526,2.167076538748782e-09,-1.3397269678810708,0.024678268770869448,-0.0026134498733357456,3.972502636648553,0.00016983352675628937,0.000374007261422716,0.0005390865402814727,0.023694680946465593,1.4580914369772835,1.7660326196417293e-09,0.7772797373034261,0.019486326724951618,0.0015518374112156957
6,8.361437300011513,0.001074083613983311,0.0008458243005532854,0.0008853174887133669,0.02757978670254136,1.2662728327692996,8.083858445772292e-09,-2.654594371031913,0.024975235924535884,-0.002619190226041,5.962619761938511,0.0004066825828956767,0.0014602880517424815,0.0006956221463899525,0.026586254367790104,0.1884588052660555,9.219819029752677e-09,1.4832201058286052,0.018818967425490093,0.0016528152176119456
7,18.075793917179702,0.0012947572065488467,0.0008305843238143961,0.0008014805908113945,0.027332648835990615,2.0021737377265447,8.180351508818064e-09,-2.134715072780742,0.02571093839900233,-0.003469649460188301,6.401280634498423,0.0003058220612984788,0.0015590729111132422,0.0005983092829346696,0.02415432687297749,1.0987381305631834,1.0175602518027277e-08,1.432166279780187,0.019577252389501098,0.0017002882677893975
8,24.480948256281717,0.00013426169578442822,0.0002644182414828991,0.0003058177281347914,0.07528220552684194,0.058301349814626445,1.0375976435044407e-08,-0.2701529259104699,0.027197501393942017,-0.0015229222494806622,3.0498257174604073,0.0001014892194416189,0.0002589846377165954,0.00019005349033188667,0.03027804646221249,0.04858605833381473,8.225786145714747e-09,0.2221313493533409,0.018182052382905375,0.0010612857520947373
9,23.69905329034805,0.0010018269070720786,0.0004220440790099459,0.0003851341603090719,0.07147643142854257,4.676978885771031,1.0677482462712776e-08,-3.8187984460898075,0.025578007819894718,-0.003937353247360475,5.5698771497298125,0.0004991962413782307,0.0009465254168413902,0.0003082739115510165,0.03014279363668817,0.8111494485017577,9.076438728527092e-09,1.6346316374370522,0.016957774906114765,0.001997837412653117
10,24.185290966430735,0.0016185787789676975,0.0007265734161764227,0.0008269429188583358,0.02163896430536089,0.38858412698814493,8.302873247268254e-09,-2.0100034806215556,0.02675684803095318,-0.0019262506248607935,5.0510125228092715,0.0005067009599908083,0.0010783199590689422,0.0006203809663090477,0.016699861841039335,0.3351163396334977,1.1376239452776397e-08,1.2220594588587579,0.021051731062992223,0.0013302024974198483
11,27.85700315373395,0.0004439638837237861,0.00041605578427553614,0.0003587197487409407,0.06941270026762064,2.1161042130453755,1.0840155870224846e-08,-3.1793087535545137,0.026003038213516686,-0.0035116090800847055,3.8583390928925057,0.00019413654562796056,0.0007683938235877408,0.00025111745070544695,0.029759837656102725,0.3135555558097927,1.0153585715500251e-08,1.6940304805784447,0.018535348103254287,0.0016618801742910286
12,34.962546818832834,0.0005116133905085298,0.00041849402588043944,0.00036770734586225105,0.06875375435774701,3.190004952056633,9.801863249588886e-09,-6.020932533268835,0.02575895690445131,-0.002799387237059214,3.546586826593409,0.00014020225247362908,0.0008587925067093194,0.00029309495176092266,0.029618171998450724,0.4963179743165481,9.646383940039008e-09,1.889047930198115,0.01795246986201563,0.0014059129845941092
13,28.351510625495322,0.0007892044657793944,0.0007694241611713971,0.0007908545991676084,0.024350649397948256,0.2895838428208507,8.091414757963602e-09,-0.5823192392169377,0.02637248041835853,-0.002414402967418807,4.085121313519611,0.00018926200051607405,0.0012289148804887312,0.0005713898446555976,0.017403529467293958,0.22300099322774664,1.009494110014699e-08,0.5077044777771199,0.020178530231727554,0.0015229600717509785
14,10.02517573480385,0.0012459950257891646,0.0007870970652119209,0.0007983253185238449,0.025306394006935497,3.180684449953904,8.514266426097815e-09,-2.5582458310923006,0.022421078440528187,-0.004061661533718218,4.233875677379824,0.0003030925936838633,0.001331094985958227,0.0005763043195027586,0.021049097080358955,0.26922138781905824,1.089587246648425e-08,1.1384700918687618,0.017995013882888107,0.0018757713051775445
15,21.579501087227825,0.0002597533873831962,0.0003950545227620968,0.00039115634731976435,0.08137472890933674,2.108543764218086,1.0511227129324178e-08,-2.6126336481076295,0.02476877263705566,-0.002307685009502413,3.1856606992320957,0.0001716777675319602,0.000783029387317761,0.00030729829197285666,0.03230141232575969,0.5087465366131126,9.539859227101593e-09,1.2327214934278299,0.017340327767487555,0.0013960884509481813
